1,六,six
2,力,power; strong; strain; bear up; exert
3,林,grove; forest
4,立,stand up
5,夕,evening
6,木,tree; wood
7,目,eye; class; look; insight; experience; care; favor
8,名,name; noted; distinguished; reputation
9,本,book; present; main; true; real; counter for long cylindrical things
10,文,sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)
11,八,eight; eight radical (no. 12)
12,百,hundred
13,白,white
14,二,two; two radical (no.2)
15,日,day; sun; Japan; counter for days
16,入,enter; insert
17,年,year; counter for years
18,土,soil; earth; ground; Turkey
19,町,town; village; block; street
20,天,heavens; sky; imperial
21,田,rice field; rice paddy
22,虫,insect; bug; temper
23,男,male
24,竹,bamboo
25,中,in; inside; middle; mean; center
26,大,large; big
27,早,early; fast
28,草,grass; weeds; herbs; pasture; write; draft
29,足,leg; foot; be sufficient; counter for pairs of footwear
30,村,village; town
31,石,stone
32,赤,red
33,先,before; ahead; previous; future; precedence
34,千,thousand
35,川,stream; river; river or 3-stroke river radical (no. 47)
36,正,correct; justice; righteous; 10**40
37,生,life; genuine; birth
38,青,blue; green
39,水,water
40,森,forest; woods
41,人,person
42,女,woman; female
43,小,little; small
44,上,above; up
45,出,exit; leave
46,十,ten
47,手,hand
48,車,car
49,耳,ear
50,七,seven
51,字,character; letter; word; section of village
52,糸,thread
53,四,four
54,子,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac
55,三,three
56,山,mountain
57,左,left
58,校,exam; school; printing; proof; correction
59,口,mouth
60,五,five
61,月,month; moon
62,犬,dog
63,見,see; hopes; chances; idea; opinion; look at; visible
64,金,gold
65,九,nine
66,空,empty; sky; void; vacant; vacuum
67,玉,jewel; ball
68,気,spirit; mind; air; atmosphere; mood
69,休,rest; day off; retire; sleep
70,貝,shellfish
71,学,study; learning; science
72,右,right
73,雨,rain
74,円,circle; yen; round
75,王,king; rule; magnate
76,音,sound; noise
77,下,below; down; descend; give; low; inferior
78,火,fire
79,花,flower
80,一,one; one radical (no.1)
81,話,tale; talk
82,来,come; due; next; cause; become
83,理,logic; arrangement; reason; justice; truth
84,里,ri; village; parent's home; league
85,曜,weekday
86,用,utilize; business; service; use; employ
87,友,friend
88,門,gate; counter for cannons
89,夜,night; evening
90,野,plains; field; rustic; civilian life
91,矢,dart; arrow
92,毛,fur; hair; feather; down
93,明,bright; light
94,鳴,chirp; cry; bark; sound; ring; echo; honk
95,毎,every
96,万,ten thousand
97,歩,walk; counter for steps
98,母,mama; mother
99,方,direction; person; alternative
100,北,north
101,妹,younger sister
102,聞,hear; ask; listen
103,米,rice; USA; metre
104,風,wind; air; style; manner
105,分,part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100
106,父,father
107,麦,barley; wheat
108,半,half; middle; odd number; semi-; part-
109,番,turn; number in a series
110,買,buy
111,売,sell
112,南,south
113,肉,meat
114,馬,horse
115,頭,head; counter for large animals
116,同,same; agree; equal
117,道,road-way; street; district; journey; course; moral; teachings
118,読,read
119,内,inside; within; between; among; house; home
120,冬,winter
121,刀,sword; saber; knife
122,東,east
123,当,hit; right; appropriate; himself
124,答,solution; answer
125,朝,morning; dynasty; regime; epoch; period; (North) Korea
126,長,long; leader
127,鳥,bird; chicken
128,直,straightaway; honesty; frankness; fix; repair
129,通,"traffic; pass through; avenue; commute; counter for letters, notes, documents, etc."
130,弟,younger brother; faithful service to elders
131,店,store; shop
132,点,spot; point; mark; speck; decimal point
133,電,electricity
134,知,know; wisdom
135,地,ground; earth
136,池,pond; cistern; pool; reservoir
137,茶,tea
138,昼,daytime; noon
139,谷,valley
140,台,pedestal; a stand; counter for machines and vehicles
141,体,body; substance; object; reality; counter for images
142,走,run
143,多,many; frequent; much
144,太,plump; thick; big around
145,組,association; braid; plait; construct; assemble; unite; cooperate; grapple
146,切,cut; cutoff; be sharp
147,雪,snow
148,線,line; track
149,船,ship; boat
150,前,in front; before
151,星,star; spot; dot; mark
152,晴,clear up
153,声,voice
154,西,west; Spain
155,図,map; drawing; plan; unexpected; accidentally
156,数,number; strength; fate; law; figures
157,色,color
158,食,eat; food
159,心,heart; mind; spirit; heart radical (no. 61)
160,新,new
161,親,parent; intimacy; relative; familiarity; dealer (cards)
162,場,location; place
163,書,write
164,少,few; little
165,春,springtime; spring (season)
166,週,week
167,首,neck; counter for songs and poems
168,秋,autumn
169,弱,weak; frail
170,社,company; firm; office; association; shrine
171,自,oneself
172,室,room; apartment; chamber; greenhouse; cellar
173,寺,Buddhist temple
174,時,time; hour
175,思,think
176,止,stop; halt
177,紙,paper
178,姉,elder sister
179,市,market; city; town
180,算,calculate; divining; number; abacus; probability
181,細,dainty; get thin; taper; slender; narrow
182,作,make; production; prepare; build
183,才,genius; years old; cubic shaku
184,行,going; journey
185,高,tall; high; expensive
186,合,fit; suit; join; 0.1
187,国,country
188,黒,black
189,今,now
190,考,consider; think over
191,工,craft; construction; katakana e radical (no. 48)
192,広,wide; broad; spacious
193,後,behind; back; later
194,語,word; speech; language
195,交,mingle; mixing; association; coming & going
196,光,ray; light
197,公,public; prince; official; governmental
198,午,noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac
199,言,say
200,古,old
